X-Loc(m)	Y-Loc(m)	time(min)	Field Strength(nT)	Base Station(nT)
-190.0	-50.0	207.5	51322.1		51321.8
-180.0	-50.0	208.0	51323.2		51323.8
-170.0	-50.0	208.5	51322.8		51322.6
-160.0	-50.0	209.0	51323.2		51322.4
-150.0	-50.0	209.5	51326.6		51325.2
-140.0	-50.0	210.0	51330.4		51323.6
-130.0	-50.0	210.5	51344.9		51325.6
-120.0	-50.0	211.0	51322.5		51325.6
-110.0	-50.0	211.5	51324.4		51324.1
-100.0	-50.0	212.0	51320.9		51322.0
-90.0	-50.0	212.5	51321.8		51323.2
-80.0	-50.0	213.0	51322.6		51323.6
-70.0	-50.0	213.5	51323.0		51323.7
-60.0	-50.0	214.0	51324.5		51324.4
-50.0	-50.0	214.5	51323.0		51325.0
-40.0	-50.0	215.0	51321.2		51324.3
-30.0	-50.0	215.5	51322.5		51323.7
-20.0	-50.0	216.0	51322.1		51321.5
-10.0	-50.0	216.5	51321.5		51322.2
0.0	-50.0	217.0	51320.3		51322.7
10.0	-50.0	217.5	51320.8		51322.9
20.0	-50.0	218.0	51324.4		51324.7
30.0	-50.0	218.5	51322.1		51321.9
40.0	-50.0	219.0	51324.2		51324.4
50.0	-50.0	219.5	51323.8		51323.6
60.0	-50.0	220.0	51323.8		51323.3
70.0	-50.0	220.5	51323.4		51324.1
80.0	-50.0	221.0	51320.5		51321.2
90.0	-50.0	221.5	51324.2		51325.0
100.0	-50.0	222.0	51323.2		51326.2
110.0	-50.0	222.5	51323.5		51323.1
120.0	-50.0	223.0	51322.8		51322.7
130.0	-50.0	223.5	51323.9		51324.8
140.0	-50.0	224.0	51322.1		51321.6
150.0	-50.0	224.5	51324.7		51324.0
160.0	-50.0	225.0	51326.7		51324.6
170.0	-50.0	225.5	51322.6		51322.3
180.0	-50.0	226.0	51321.8		51323.3
190.0	-50.0	226.5	51321.5		51321.7
200.0	-50.0	227.0	51322.2		51322.4
210.0	-50.0	227.5	51321.3		51321.6
220.0	-50.0	228.0	51321.9		51322.0
230.0	-50.0	228.5	51324.1		51321.9
240.0	-50.0	229.0	51318.5		51320.5
250.0	-50.0	229.5	51324.4		51322.0
-250.0	-25.0	230.0	51321.3		51322.0
-240.0	-25.0	230.5	51320.4		51321.1
-230.0	-25.0	231.0	51323.1		51322.8
-220.0	-25.0	231.5	51321.6		51322.1
-210.0	-25.0	232.0	51321.4		51322.5
-200.0	-25.0	232.5	51320.5		51319.7
-190.0	-25.0	233.0	51322.0		51322.2
-180.0	-25.0	233.5	51321.9		51323.4
-170.0	-25.0	234.0	51322.9		51321.3
-160.0	-25.0	234.5	51323.6		51321.7
-150.0	-25.0	235.0	51325.1		51322.5
-140.0	-25.0	235.5	51343.9		51322.7
-130.0	-25.0	236.0	51335.8		51325.1
-120.0	-25.0	236.5	51320.9		51325.4
-110.0	-25.0	237.0	51321.2		51320.7
-100.0	-25.0	237.5	51322.5		51323.0
-90.0	-25.0	238.0	51321.8		51323.0
-80.0	-25.0	238.5	51324.2		51326.0
-70.0	-25.0	239.0	51320.8		51323.2
-60.0	-25.0	239.5	51321.8		51321.8
-50.0	-25.0	240.0	51321.6		51323.1
-40.0	-25.0	240.5	51322.6		51322.0
-30.0	-25.0	241.0	51321.6		51322.3
-20.0	-25.0	241.5	51321.3		51321.8
-10.0	-25.0	242.0	51322.4		51321.0
0.0	-25.0	242.5	51324.0		51324.7
10.0	-25.0	243.0	51321.1		51322.0
20.0	-25.0	243.5	51323.4		51323.8
30.0	-25.0	244.0	51322.7		51322.1
40.0	-25.0	244.5	51320.8		51322.2
50.0	-25.0	245.0	51322.6		51321.4
60.0	-25.0	245.5	51320.9		51323.2
70.0	-25.0	246.0	51323.0		51321.4
80.0	-25.0	246.5	51325.0		51323.7
90.0	-25.0	247.0	51322.8		51321.5
100.0	-25.0	247.5	51323.5		51321.2
110.0	-25.0	248.0	51326.9		51324.2
120.0	-25.0	248.5	51324.5		51324.2
130.0	-25.0	249.0	51322.0		51320.9
140.0	-25.0	249.5	51323.3		51322.3
150.0	-25.0	250.0	51322.8		51323.6
160.0	-25.0	250.5	51322.8		51322.3
170.0	-25.0	251.0	51322.9		51322.5
180.0	-25.0	251.5	51324.2		51322.6
190.0	-25.0	252.0	51321.5		51320.6
200.0	-25.0	252.5	51320.5		51319.7
210.0	-25.0	253.0	51325.4		51322.5
220.0	-25.0	253.5	51320.6		51320.3
230.0	-25.0	254.0	51321.7		51321.1
240.0	-25.0	254.5	51324.9		51323.8
250.0	-25.0	255.0	51315.8		51321.1
-250.0	0.0	255.5	51320.9		51321.2
-240.0	0.0	256.0	51317.3		51318.4
-230.0	0.0	256.5	51318.6		51319.1
-220.0	0.0	257.0	51322.0		51320.3
-210.0	0.0	257.5	51320.2		51321.1
-200.0	0.0	258.0	51320.4		51320.0
-190.0	0.0	258.5	51320.8		51320.7
-180.0	0.0	259.0	51322.4		51322.9
-170.0	0.0	259.5	51324.1		51320.7
-160.0	0.0	260.0	51323.7		51320.2
-150.0	0.0	260.5	51338.3		51321.5
-140.0	0.0	261.0	51337.6		51320.6
-130.0	0.0	261.5	51320.7		51322.5
-120.0	0.0	262.0	51317.7		51318.5
-110.0	0.0	262.5	51319.1		51319.8
-100.0	0.0	263.0	51319.6		51320.3
-90.0	0.0	263.5	51320.4		51320.0
-80.0	0.0	264.0	51323.4		51324.2
-70.0	0.0	264.5	51320.9		51322.0
-60.0	0.0	265.0	51319.2		51320.4
-50.0	0.0	265.5	51320.6		51323.2
-40.0	0.0	266.0	51319.0		51320.4
-30.0	0.0	266.5	51320.6		51320.8
-20.0	0.0	267.0	51320.6		51323.4
-10.0	0.0	267.5	51320.1		51319.2
0.0	0.0	268.0	51321.5		51323.1
10.0	0.0	268.5	51318.7		51318.9
20.0	0.0	269.0	51321.8		51321.9
30.0	0.0	269.5	51321.8		51320.2
40.0	0.0	270.0	51320.4		51320.6
50.0	0.0	270.5	51320.8		51322.4
60.0	0.0	271.0	51321.6		51322.6
70.0	0.0	271.5	51321.8		51319.4
80.0	0.0	272.0	51322.1		51322.6
90.0	0.0	272.5	51320.4		51318.0
100.0	0.0	273.0	51322.4		51322.4
110.0	0.0	273.5	51321.1		51320.8
120.0	0.0	274.0	51321.3		51321.3
130.0	0.0	274.5	51323.9		51323.7
140.0	0.0	275.0	51320.9		51322.3
150.0	0.0	275.5	51323.5		51320.9
160.0	0.0	276.0	51320.9		51320.6
170.0	0.0	276.5	51320.0		51320.1
180.0	0.0	277.0	51323.8		51321.9
190.0	0.0	277.5	51321.7		51322.4
200.0	0.0	278.0	51324.1		51322.1
210.0	0.0	278.5	51319.3		51322.9
220.0	0.0	279.0	51325.7		51320.5
230.0	0.0	279.5	51317.2		51319.4
240.0	0.0	280.0	51384.5		51322.2
250.0	0.0	280.5	51466.9		51321.1
-250.0	25.0	281.0	51320.1		51321.4
-240.0	25.0	281.5	51320.0		51320.1
-230.0	25.0	282.0	51321.5		51321.5
-220.0	25.0	282.5	51316.4		51317.3
-210.0	25.0	283.0	51318.9		51317.7
-200.0	25.0	283.5	51318.2		51321.7
-190.0	25.0	284.0	51320.8		51321.1
-180.0	25.0	284.5	51321.1		51321.5
-170.0	25.0	285.0	51322.2		51319.7
-160.0	25.0	285.5	51326.0		51320.5
-150.0	25.0	286.0	51339.0		51321.9
-140.0	25.0	286.5	51319.2		51317.4
-130.0	25.0	287.0	51317.4		51318.7
-120.0	25.0	287.5	51317.9		51318.9
-110.0	25.0	288.0	51320.9		51321.4
-100.0	25.0	288.5	51322.4		51325.2
-90.0	25.0	289.0	51319.8		51319.0
-80.0	25.0	289.5	51319.4		51319.9
-70.0	25.0	290.0	51316.5		51316.7
-60.0	25.0	290.5	51315.4		51315.2
-50.0	25.0	291.0	51317.4		51317.4
-40.0	25.0	291.5	51317.8		51320.2
-30.0	25.0	292.0	51317.3		51319.6
-20.0	25.0	292.5	51318.6		51318.4
-10.0	25.0	293.0	51314.3		51314.4
0.0	25.0	293.5	51315.3		51315.5
10.0	25.0	294.0	51318.9		51319.7
20.0	25.0	294.5	51314.1		51312.7
30.0	25.0	295.0	51314.4		51315.6
40.0	25.0	295.5	51316.6		51316.5
